Machine_ID,Coolant_Pressure,Coolant_Temperature,Hydraulic_Oil_Temperature,Spindle_Bearing_Temperature,Spindle_Speed,Downtime
Makino-L1-Unit1-2013,6.933724915,25.6,46,33.4,25892,Machine_Failure
Makino-L1-Unit1-2013,4.936891865,35.3,47.4,34.6,19856,Machine_Failure
Makino-L3-Unit1-2015,6.839413159,13.1,40.7,33,19851,Machine_Failure
Makino-L2-Unit1-2015,4.574382007,24.4,44.2,40.6,18461,Machine_Failure
Makino-L1-Unit1-2013,6.893181921,4.1,47.3,31.4,26526,Machine_Failure
Makino-L2-Unit1-2015,5.918357337,5.4,48,32.7,27613,Machine_Failure
Makino-L1-Unit1-2013,6.560332199,19.3,48.8,37.4,26605,Machine_Failure
Makino-L3-Unit1-2015,5.060708564,20.8,45.8,37.5,14266,No_Machine_Failure
Makino-L3-Unit1-2015,5.074379701,4.5,51.5,32.1,20413,No_Machine_Failure
Makino-L3-Unit1-2015,5.567856573,14,47.9,35.2,20504,Machine_Failure
Makino-L2-Unit1-2015,5.358623507,34.3,43,32.4,17919,Machine_Failure
Makino-L1-Unit1-2013,4.566853902,11.5,46.2,37.6,21951,Machine_Failure
Makino-L2-Unit1-2015,6.960635908,14.7,47.2,36.2,25528,Machine_Failure
Makino-L2-Unit1-2015,4.62776082,30.3,50.2,28,18660,Machine_Failure
Makino-L3-Unit1-2015,4.622771809,29.8,51.2,31.1,18644,Machine_Failure
Makino-L3-Unit1-2015,4.624427746,28.7,44.9,31,18648,Machine_Failure
Makino-L3-Unit1-2015,4.62478014,27,45.1,38.6,18650,Machine_Failure
Makino-L3-Unit1-2015,4.626567992,26.4,52.6,33.8,18654,Machine_Failure
Makino-L2-Unit1-2015,4.84252053,19.5,52.3,35.2,23432,Machine_Failure
Makino-L3-Unit1-2015,6.863944117,15.7,44.5,38.7,21951,Machine_Failure
Makino-L3-Unit1-2015,4.86086247,6.9,48.1,38.3,27957,Machine_Failure
Makino-L3-Unit1-2015,5.054399663,8.7,48.2,41,20303,No_Machine_Failure
Makino-L2-Unit1-2015,4.566853902,4.9,47.2,38.1,26605,Machine_Failure
Makino-L3-Unit1-2015,5.057724885,11.9,49.4,35.3,20310,No_Machine_Failure
Makino-L2-Unit1-2015,5.051942984,5.7,50.4,36.7,20298,No_Machine_Failure
Makino-L1-Unit1-2013,5.04958003,6.8,48.3,36,20297,No_Machine_Failure
Makino-L3-Unit1-2015,6.839413159,24.4,53.7,35,18638,Machine_Failure
Makino-L3-Unit1-2015,4.979214772,7.4,49.7,34.5,20018,No_Machine_Failure
Makino-L2-Unit1-2015,6.839413159,9,45.7,31.6,20504,Machine_Failure
Makino-L2-Unit1-2015,4.978056686,9.9,44.5,44.1,20016,No_Machine_Failure
Makino-L3-Unit1-2015,4.979234549,10.6,43.2,30.5,20018,No_Machine_Failure
Makino-L1-Unit1-2013,5.058904048,12.2,48.2,31.5,20314,No_Machine_Failure
Makino-L2-Unit1-2015,5.072330576,21,46,26.9,13272,No_Machine_Failure
Makino-L1-Unit1-2013,6.863944117,25.6,42,38.6,18755,Machine_Failure
Makino-L1-Unit1-2013,5.567856573,9.9,56.5,40,27613,Machine_Failure
Makino-L3-Unit1-2015,6.560332199,9.7,48.1,35.8,26526,Machine_Failure
Makino-L3-Unit1-2015,5.227383809,22.4,48.5,39.3,15217,No_Machine_Failure
Makino-L3-Unit1-2015,4.819676197,28.7,55,38.6,19440,Machine_Failure
Makino-L1-Unit1-2013,4.82340648,26.4,38.8,31,19457,Machine_Failure
